idx,x,y,duration,img
0,441,550,316,203
1,411,349,216,203
2,365,369,275,203
3,380,371,1274,203
4,392,305,75,203
5,410,386,150,203
6,422,349,58,203
7,414,387,125,203
8,426,347,108,203
9,408,378,58,203
10,446,349,67,203
11,362,364,491,203
0,315,560,550,47
1,291,438,217,47
2,331,543,508,47
3,358,658,491,47
4,316,517,300,47
5,298,328,583,47
6,430,601,75,47
0,475,188,458,95
1,347,101,458,95
2,597,324,300,95
3,550,365,275,95
4,707,486,683,95
5,910,196,425,95
6,958,186,458,95
7,142,115,408,95
8,312,91,358,95
0,326,186,58,96
1,369,194,183,96
2,522,251,250,96
3,560,212,408,96
4,281,232,350,96
5,560,252,908,96
6,745,403,258,96
7,423,101,250,96
8,426,61,383,96
0,307,507,100,138
1,281,546,291,138
2,383,496,266,138
3,340,494,1133,138
4,268,554,433,138
5,335,516,749,138
0,612,461,192,166
1,356,461,192,166
2,260,371,125,166
3,399,316,258,166
4,430,271,375,166
5,413,308,75,166
6,388,270,508,166
7,533,264,300,166
8,509,315,158,166
9,505,365,216,166
10,498,742,525,166
11,388,439,183,166
0,588,335,208,191
1,460,346,366,191
2,391,517,441,191
3,573,500,58,191
4,741,512,391,191
5,645,242,191,191
6,593,242,291,191
7,494,365,250,191
0,477,413,183,253
1,349,285,183,253
2,554,322,200,253
3,601,362,50,253
4,625,330,50,253
5,602,357,100,253
6,302,275,241,253
7,294,273,225,253
8,601,367,741,253
9,590,414,100,253
10,596,459,208,253
11,357,509,350,253
12,591,367,591,253
0,927,496,441,287
1,799,272,441,287
2,644,295,175,287
3,541,303,200,287
4,502,331,183,287
5,755,409,142,287
6,575,185,117,287
7,501,292,108,287
8,714,145,400,287
9,804,79,491,287
10,282,126,633,287
