idx,x,y,duration,img
0,360,508,75,47
1,320,337,433,47
2,363,652,83,47
3,355,621,92,47
4,378,672,142,47
5,383,360,25,47
6,359,292,175,47
7,185,169,266,47
8,94,464,341,47
9,420,445,283,47
10,57,578,200,47
11,550,500,200,47
12,355,603,300,47
13,643,496,375,47
14,331,376,408,47
15,267,418,441,47
0,625,696,583,95
1,601,531,675,95
2,577,646,108,95
3,69,331,316,95
4,114,286,400,95
5,653,742,508,95
6,425,634,283,95
7,289,529,441,95
8,200,117,67,95
0,668,123,200,96
1,409,283,283,96
2,275,239,300,96
3,306,208,275,96
4,426,209,250,96
5,72,85,208,96
6,154,432,366,96
0,467,867,125,138
1,169,867,125,138
2,151,828,191,138
3,326,363,250,138
4,314,449,500,138
5,308,368,108,138
6,493,231,50,138
7,337,467,83,138
8,299,531,1149,138
0,617,424,117,166
1,361,424,117,166
2,100,441,250,166
3,285,450,67,166
4,301,435,92,166
5,315,308,216,166
6,150,305,150,166
7,398,751,216,166
8,399,712,8,166
9,396,709,8,166
10,284,488,242,166
0,522,490,308,191
1,394,362,308,191
2,291,385,408,191
3,403,506,350,191
4,508,412,299,191
5,580,413,425,191
6,383,467,341,191
7,369,541,100,191
8,379,496,425,191
9,108,298,300,191
10,4,105,383,191
0,672,556,641,203
1,375,556,641,203
2,381,343,366,203
3,201,344,316,203
4,382,401,616,203
5,409,825,133,203
6,388,883,75,203
7,197,794,75,203
8,156,783,291,203
9,96,602,325,203
0,217,363,17,253
1,486,356,225,253
2,620,484,17,253
3,607,481,108,253
4,514,272,100,253
5,436,250,75,253
6,338,263,33,253
7,423,355,83,253
0,861,424,358,287
1,733,200,358,287
2,844,204,341,287
3,698,365,391,287
4,701,233,216,287
5,664,196,400,287
6,674,153,933,287
