Idx, x, y, duration
0,611,762,142
1,614,372,625
2,541,170,100
0,958,255,675
1,830,127,675
2,576,384,333
3,627,326,890
4,666,433,183
5,679,486,166
6,830,468,75
7,803,536,58
8,785,636,350
9,662,687,541
0,478,296,100
1,597,289,241
2,629,348,175
3,622,287,233
4,595,257,341
5,635,252,766
6,665,323,258
7,663,370,83
8,668,297,8
9,446,373,83
10,460,324,250
0,629,272,108
1,658,278,8
2,649,267,116
3,514,245,167
4,503,272,267
5,457,327,75
6,609,304,8
7,619,316,8
0,448,170,250
1,320,42,250
2,480,264,266
0,217,490,50
1,203,424,25
2,516,340,50
0,439,435,491
1,601,310,550
2,542,311,50
0,456,467,150
1,660,416,200
2,631,370,200
3,606,325,133
4,609,322,58
5,606,263,766
6,606,344,8
7,624,343,8
0,582,259,8
1,506,569,83
0,337,335,208
1,513,286,325
2,479,432,358
0,338,554,117
1,210,426,117
2,214,436,100
3,468,585,192
4,514,300,275
5,591,320,550
6,596,260,167
7,403,587,58
8,382,672,91
9,352,622,25
10,349,649,58
11,260,676,8
0,221,370,117
1,456,533,208
2,619,294,150
3,626,318,33
4,578,573,8
5,413,694,391
6,438,723,75
7,627,711,8
0,594,387,167
1,605,338,283
2,535,607,125
3,361,248,117
4,365,244,50
5,597,275,217
6,601,686,67
7,635,695,175
8,383,656,275
9,427,691,150
10,570,342,108
0,879,716,100
1,751,588,100
2,635,323,375
3,594,651,241
4,627,698,341
5,660,715,167
6,659,328,300
7,616,268,691
8,599,410,183
