Idx, x, y, duration
0,374,294,158
0,360,218,75
0,432,302,50
1,405,256,83
2,400,223,92
3,433,280,258
0,420,408,316
1,397,331,300
2,417,288,50
3,410,258,200
4,403,264,358
5,442,310,291
6,385,365,183
7,327,250,8
0,417,303,325
0,522,375,200
1,368,414,241
2,384,315,191
3,194,513,283
4,353,277,616
0,406,218,50
1,407,206,92
2,404,261,275
3,424,301,333
4,401,221,316
5,22,116,266
6,380,180,142
7,401,227,300
8,374,182,125
0,602,328,275
1,474,158,275
2,359,211,92
3,392,257,150
4,298,468,50
5,267,447,166
0,525,522,291
1,397,352,291
2,421,317,233
3,395,168,649
4,99,153,225
5,103,104,192
6,96,106,100
7,510,467,275
8,385,254,391
