Idx, x, y, duration
0,615,555,83
1,487,427,83
2,580,402,58
3,598,309,67
4,565,405,92
5,338,532,191
6,331,584,250
7,331,541,83
8,361,512,183
9,355,553,158
10,593,379,200
11,565,455,558
12,590,417,216
0,629,650,250
1,501,522,250
2,444,255,350
3,580,407,858
4,282,605,442
5,277,570,92
0,669,617,142
1,541,489,142
2,580,422,108
3,563,464,108
4,298,553,233
5,267,573,216
6,309,578,158
7,566,362,275
8,610,392,158
9,590,424,83
10,336,617,291
11,562,629,233
12,346,524,283
13,343,560,58
14,195,606,308
15,797,520,150
0,582,365,416
1,547,549,92
2,560,553,292
3,732,473,150
4,559,436,491
5,356,541,200
6,373,500,133
7,616,315,292
0,945,420,241
1,817,292,241
2,836,184,50
3,815,145,50
4,573,267,108
5,556,376,91
6,533,404,108
7,521,367,75
8,518,417,75
9,172,565,400
10,532,388,616
11,870,501,441
12,323,559,233
13,240,559,433
0,579,322,42
1,590,275,17
2,612,286,50
3,640,306,8
4,591,373,8
5,551,312,258
6,536,364,283
0,556,521,8
1,772,711,42
0,493,561,350
1,365,433,350
2,474,378,283
3,262,512,491
4,488,389,408
5,383,96,108
6,174,70,500
7,218,349,83
8,231,433,75
0,442,628,258
1,286,516,291
2,379,570,358
3,234,537,316
4,320,557,183
0,848,436,283
1,720,308,283
2,577,541,267
3,351,559,441
4,692,411,550
5,613,441,233
6,638,535,350
0,682,684,183
1,554,556,183
2,675,529,8
3,553,376,375
4,304,574,283
5,243,659,208
6,105,570,150
7,573,425,8
8,374,696,91
0,515,532,59
1,424,362,175
2,627,475,1616
0,1004,421,674
1,876,293,674
2,568,470,283
3,532,408,316
4,267,521,100
5,263,464,50
6,275,528,158
7,538,424,1366
8,339,517,258
9,304,555,208
10,510,408,208
