Idx, x, y, duration
0,299,367,150
1,506,559,217
2,457,633,91
3,372,760,17
4,201,714,9
5,297,714,116
6,267,642,217
7,289,655,117
0,907,636,17
1,623,221,300
2,529,472,225
3,393,598,8
0,817,558,200
1,552,322,233
2,359,665,8
3,351,690,8
4,313,661,8
0,394,652,275
1,543,337,250
2,465,249,317
3,215,302,366
4,174,482,217
5,540,576,58
6,593,595,92
7,750,586,100
0,273,686,42
1,437,331,8
0,422,698,83
1,461,759,142
2,462,724,67
3,565,162,100
4,529,170,241
5,479,583,50
6,468,512,158
7,340,658,125
0,514,403,333
1,427,604,408
2,482,603,333
3,422,723,425
4,641,131,150
5,622,181,708
0,20,204,400
1,252,256,100
2,326,279,133
3,451,531,83
4,459,520,25
5,451,545,416
6,700,573,75
7,709,569,283
8,493,557,300
9,454,737,67
0,814,585,400
1,686,457,400
2,661,495,175
3,438,497,1316
4,516,476,608
5,445,516,358
0,814,434,775
1,686,306,775
2,596,317,200
3,449,556,283
4,291,727,883
5,235,695,383
6,226,603,183
7,208,494,200
8,222,336,208
9,220,281,216
0,580,395,117
1,445,552,208
2,356,356,175
3,454,517,583
4,515,83,125
0,501,474,558
1,462,483,125
2,665,486,83
0,605,355,258
1,477,227,258
2,371,161,300
3,469,482,333
4,351,642,358
5,225,634,500
6,425,490,816
7,451,220,525
8,593,266,416
