Idx, x, y, duration
0,407,403,8
1,296,647,117
2,504,428,75
3,533,277,391
4,418,456,83
5,444,526,8
6,483,330,58
7,478,355,450
8,579,180,250
9,947,363,75
10,191,406,75
11,72,397,267
0,474,344,500
1,437,720,258
2,439,770,242
3,294,638,183
4,448,288,174
5,154,396,225
6,113,440,125
7,472,339,208
8,598,258,183
9,612,554,25
10,584,639,58
11,984,280,8
12,980,288,266
13,959,194,266
14,978,467,208
15,868,418,50
16,542,298,691
0,447,799,208
1,82,783,17
0,698,586,316
1,384,720,258
2,409,764,491
3,294,585,508
4,203,617,366
0,662,480,341
1,378,720,192
2,432,751,283
3,480,586,8
4,915,455,158
5,890,402,333
0,879,399,508
1,289,605,200
2,247,603,550
0,602,378,308
1,474,296,308
2,325,553,158
3,265,628,225
4,219,611,325
5,805,462,258
6,830,424,333
7,421,614,67
8,413,663,150
9,459,733,125
10,871,826,83
11,895,830,58
12,692,598,17
13,877,394,8
14,866,381,175
15,862,324,316
16,673,454,100
17,325,497,225
18,230,502,125
19,223,515,67
0,414,349,8
1,310,633,150
2,422,772,233
3,807,504,141
4,887,398,275
5,889,397,241
6,721,391,167
7,558,328,600
8,555,336,8
9,551,321,133
10,545,330,8
11,549,333,117
12,546,337,8
13,548,330,117
14,553,328,83
15,555,350,8
16,569,326,100
0,415,740,108
1,404,778,400
2,227,629,83
3,203,605,208
4,755,444,216
5,800,297,100
6,912,34,100
7,867,410,416
8,873,410,341
0,595,399,383
1,467,317,383
2,310,699,275
3,433,765,167
4,354,625,133
5,891,480,217
6,891,445,208
7,497,207,250
8,256,271,183
9,241,689,241
10,333,664,641
11,553,560,50
12,944,362,158
13,727,318,8
14,724,379,200
0,902,451,416
1,321,681,525
2,302,672,8
3,206,640,8
4,500,366,191
5,265,660,150
6,230,683,958
0,725,380,350
1,597,298,350
2,735,282,200
3,379,568,283
4,404,766,208
5,310,540,200
6,594,192,233
7,920,298,191
