Idx, x, y, duration
0,499,536,458
1,371,367,458
2,629,398,275
3,437,83,433
4,657,336,133
5,658,469,325
6,716,144,541
7,649,214,150
8,440,91,708
9,651,310,92
0,769,505,700
1,641,336,700
2,657,423,400
3,471,176,233
4,442,146,425
5,755,235,183
6,681,444,108
7,658,452,308
8,766,112,266
9,724,151,275
10,434,127,841
0,579,445,67
1,573,386,42
2,557,279,92
3,452,226,108
4,419,172,158
5,435,122,325
6,691,451,125
7,747,201,291
8,708,295,275
9,213,392,225
10,384,290,242
11,416,250,200
0,357,519,575
1,389,430,325
2,453,165,216
3,439,118,366
4,662,482,916
5,709,205,450
6,668,469,383
7,724,426,708
0,692,506,100
1,790,493,500
2,662,324,500
3,656,412,191
4,422,199,366
5,641,202,225
6,689,207,450
7,642,464,1691
0,452,542,741
1,324,373,741
2,437,178,200
3,429,123,450
4,692,357,208
5,720,148,400
6,704,426,92
7,413,231,275
8,430,106,416
0,438,155,133
1,423,105,525
2,656,414,200
0,648,457,183
1,702,170,491
2,410,126,300
3,252,185,117
4,542,226,358
0,558,409,766
1,430,240,766
2,450,152,150
3,440,109,391
4,697,119,275
5,700,156,50
6,698,243,117
7,628,446,108
8,650,475,541
9,584,169,183
10,712,120,425
11,430,138,241
0,213,647,658
1,475,330,150
2,424,207,175
3,413,139,316
4,749,175,483
5,890,210,441
6,742,433,258
7,669,481,1141
0,522,364,400
1,394,195,400
2,573,339,200
3,432,114,458
4,698,150,416
5,667,453,83
6,443,139,350
7,661,404,67
0,701,342,8
1,697,313,8
2,708,468,17
3,658,459,17
4,646,465,17
5,450,215,266
6,561,298,8
7,454,252,8
0,845,292,8
1,520,227,133
2,658,413,75
3,689,378,50
4,674,437,291
5,533,218,258
6,435,125,100
7,439,82,83
8,447,120,100
9,747,149,341
10,726,175,167
11,706,208,266
12,585,281,58
13,548,281,217
14,439,209,108
15,479,216,58
