Idx, x, y, duration
0,406,582,183
1,298,552,333
2,354,651,425
3,394,448,333
4,348,278,433
5,553,507,425
0,531,616,4722
1,230,616,4722
2,177,554,991
0,200,424,175
1,347,492,300
2,368,636,266
3,305,554,8
4,342,710,8
5,340,709,8
6,451,389,8
7,300,550,8
0,456,539,191
1,358,501,8
2,306,581,8
3,407,595,17
0,576,671,1033
1,275,671,1033
2,383,394,358
3,223,366,183
4,362,491,208
0,326,578,408
0,508,361,466
1,207,361,466
2,393,358,291
3,388,557,67
4,405,513,50
5,387,565,192
6,302,529,533
7,401,632,333
8,360,656,142
9,364,653,33
10,395,461,283
11,345,335,108
12,288,647,766
0,423,622,67
1,419,632,92
2,330,679,175
3,395,564,8
4,316,552,42
5,321,550,8
6,325,571,8
0,348,407,258
1,344,507,475
2,358,641,308
3,358,520,341
4,370,433,191
0,386,462,8
0,359,531,67
1,524,540,233
2,561,788,67
3,354,428,67
4,270,392,58
0,619,574,358
1,398,497,400
2,478,514,216
3,351,709,216
4,327,757,641
5,475,479,8
