Idx, x, y, duration
0,773,393,125
1,645,223,125
2,556,302,17
3,290,250,8
4,408,314,8
5,643,259,8
6,653,147,17
0,678,286,8
0,454,260,8
0,659,677,8
1,229,532,42
0,547,182,341
1,353,291,416
2,439,332,425
0,924,210,58
1,594,272,292
2,601,234,100
3,602,276,700
4,245,390,241
5,225,321,408
6,225,304,549
0,635,590,458
1,507,420,458
2,505,578,208
3,416,308,208
4,298,266,350
5,706,201,8
6,690,201,191
7,633,129,92
8,625,124,50
9,682,119,416
10,298,339,8
11,271,260,8
12,465,262,83
0,550,368,8
1,546,394,333
0,262,292,808
1,474,483,375
2,419,633,283
3,310,295,391
4,232,306,458
5,671,213,374
0,612,177,283
1,587,248,225
2,284,222,616
3,696,194,417
4,269,235,358
5,603,205,117
6,355,265,125
0,247,225,58
1,240,291,59
2,407,117,8
3,646,234,8
4,640,247,8
0,578,258,17
1,587,253,8
2,592,260,25
3,554,274,17
4,485,463,124
0,715,408,1083
1,587,238,1083
2,314,334,133
3,304,254,67
4,287,294,691
5,303,212,75
6,297,315,83
7,302,204,108
8,302,371,508
9,578,364,133
10,592,199,158
11,606,298,150
12,602,238,142
13,599,321,41
14,607,237,158
15,592,179,591
0,756,200,8
