Idx, x, y, duration
0,519,385,8
1,523,241,425
2,598,247,283
3,642,473,58
4,661,448,167
5,574,470,433
6,646,277,125
7,669,233,108
8,668,198,175
9,562,117,83
10,573,81,117
0,911,283,1424
1,783,115,1424
2,618,180,291
3,480,352,416
4,411,324,75
5,440,406,50
6,438,276,516
7,454,364,50
0,535,313,67
1,530,387,325
2,737,227,550
3,695,457,92
4,573,512,67
5,587,414,67
6,547,379,658
0,647,494,250
1,497,479,333
2,483,409,266
3,521,430,350
4,447,384,425
5,489,367,450
6,483,295,358
0,677,320,50
1,679,256,391
2,467,407,649
3,505,399,341
4,574,334,749
5,499,394,1316
0,631,639,325
1,503,471,325
2,548,284,325
3,508,378,283
4,758,528,158
5,681,518,42
6,486,477,350
7,701,466,92
8,625,365,92
9,529,410,225
10,465,392,75
11,443,395,117
0,691,418,891
1,563,250,891
2,564,312,167
3,397,379,291
4,444,374,291
5,148,225,383
6,183,196,283
7,878,359,142
8,766,335,167
0,715,301,42
1,523,271,117
2,564,279,150
3,600,285,50
4,529,264,50
5,463,324,58
6,520,344,208
7,569,299,225
8,588,261,67
9,415,192,92
0,710,443,8302
1,582,275,8302
2,540,463,92
0,525,421,125
1,397,253,125
2,574,265,341
3,457,345,100
4,467,339,125
5,483,410,458
6,643,212,383
7,438,190,358
8,588,243,200
9,526,310,208
10,487,346,216
11,523,296,383
12,589,243,450
0,514,328,125
1,519,340,8
2,516,326,150
3,592,279,92
4,477,389,33
5,498,416,225
0,622,198,42
1,605,241,241
2,531,354,241
3,447,421,283
4,397,360,300
5,269,319,300
6,469,283,275
7,560,408,241
8,524,459,300
9,678,471,191
10,533,420,383
