Idx, x, y, duration
0,637,504,649
1,509,417,649
2,713,433,233
3,916,216,391
4,305,197,483
5,143,194,208
6,75,170,391
7,476,407,258
8,689,492,150
9,621,396,158
10,429,413,258
0,715,248,491
1,587,161,491
2,574,276,133
3,571,324,100
4,699,437,516
5,521,374,291
6,684,361,108
7,698,321,108
8,634,343,375
9,708,346,166
10,147,218,283
11,948,175,924
0,750,403,250
1,622,316,250
2,501,345,316
3,619,363,333
4,760,541,175
5,775,707,183
6,644,751,191
7,188,167,150
8,218,192,67
9,194,221,183
10,117,164,216
11,61,125,283
12,426,197,75
13,391,220,67
14,558,355,283
15,702,341,233
16,584,364,183
0,361,558,233
1,233,471,233
2,498,403,258
3,611,437,216
4,639,391,125
5,523,346,258
6,639,340,475
7,555,379,167
8,644,370,308
9,725,313,216
0,682,280,17
1,377,134,8
2,527,158,8
0,694,394,8
1,595,376,216
2,686,397,108
3,713,383,50
0,472,717,216
1,344,630,216
2,743,623,183
3,651,482,50
4,572,397,466
5,708,382,441
6,730,479,58
7,741,485,175
8,597,371,400
9,717,451,400
10,629,738,83
11,724,480,450
0,475,188,458
1,347,101,458
2,597,324,300
3,550,365,275
4,707,486,683
5,910,196,425
6,958,186,458
7,142,115,408
8,312,91,358
0,832,560,125
1,704,473,125
2,878,391,100
3,909,330,183
4,507,264,216
5,603,323,241
6,687,326,108
7,663,357,142
8,708,416,233
9,359,159,233
10,303,131,308
11,128,118,200
12,894,166,233
13,964,165,650
0,552,239,466
1,424,152,466
2,468,177,50
3,504,227,117
4,326,160,408
5,518,167,225
6,471,225,58
7,668,361,308
8,880,207,191
9,950,173,166
10,310,129,258
0,656,287,9
1,620,285,216
2,647,284,83
3,652,273,25
4,572,340,8
5,610,261,241
6,615,254,58
0,705,204,275
1,577,117,275
2,525,290,183
3,577,360,258
4,694,455,366
5,261,126,92
6,309,172,716
7,99,237,466
8,272,145,416
9,754,187,600
0,417,425,83
1,498,434,225
2,553,392,200
3,377,213,208
4,596,368,200
5,703,459,250
6,542,388,300
7,706,301,175
8,886,203,216
9,946,195,83
10,856,155,133
11,927,184,300
12,834,195,225
13,379,153,50
14,304,118,275
0,514,642,491
1,386,555,491
2,488,546,208
3,608,453,258
4,464,272,67
5,366,165,316
6,621,383,233
7,554,399,192
8,693,379,258
9,682,489,325
10,670,758,316
11,282,493,216
12,137,298,275
13,105,203,300
