Idx, x, y, duration
0,451,391,92
1,461,439,358
2,328,421,316
3,204,104,84
4,204,170,241
5,178,194,275
6,144,247,591
7,636,403,1366
0,503,420,583
1,375,292,583
2,616,437,441
3,672,422,166
4,601,477,275
5,680,430,491
0,604,508,325
1,476,380,325
2,631,431,333
3,646,527,458
4,609,361,175
5,570,387,92
6,193,303,117
7,224,230,192
8,230,392,92
9,220,328,91
10,207,191,133
11,184,74,75
12,181,134,191
13,220,102,308
14,564,353,158
15,594,330,75
16,605,403,50
17,627,374,183
0,413,711,50
1,268,415,41
2,264,467,83
3,320,683,109
4,414,756,50
5,518,671,50
0,813,466,391
1,685,338,391
2,691,284,58
3,678,330,75
4,593,317,650
5,219,261,167
6,786,315,450
7,698,309,167
8,287,436,408
9,157,303,275
10,281,533,200
0,813,304,67
1,560,282,117
2,660,432,133
3,654,326,50
4,618,387,267
5,629,298,200
6,158,319,67
7,166,401,75
8,131,422,216
9,698,426,516
10,956,182,8
11,886,230,8
0,552,533,575
1,424,405,575
2,252,187,192
3,163,153,375
4,142,254,375
5,495,463,100
6,501,499,691
7,387,627,908
0,734,411,8
1,556,446,158
2,641,521,67
3,665,513,8
4,293,358,75
5,127,285,258
6,336,420,741
7,435,449,683
0,428,448,666
1,300,320,666
2,392,550,308
3,558,435,1432
4,550,541,358
5,160,274,316
0,944,550,833
1,816,422,833
2,505,470,358
3,444,435,50
4,197,326,333
5,521,384,333
6,602,442,500
7,460,404,400
8,427,151,291
0,708,526,200
1,580,398,200
2,508,426,133
3,606,450,100
4,640,423,150
5,619,380,67
6,222,336,8
7,225,333,250
8,286,124,42
9,810,332,117
10,798,317,8
11,276,389,8
0,547,436,208
1,593,543,450
2,260,421,483
3,799,385,500
4,594,369,325
5,654,479,92
6,651,493,150
7,449,601,141
0,621,479,208
1,493,351,208
2,477,267,283
3,515,358,300
4,590,391,300
5,678,404,583
6,797,257,167
7,811,224,200
8,825,127,92
9,813,220,166
10,718,207,275
11,701,283,100
12,498,324,291
13,399,366,333
