Idx, x, y, duration
0,427,385,8
1,428,370,91
2,799,308,8
3,730,332,8
4,484,234,9
5,487,272,8
6,721,338,8
7,726,364,8
8,747,344,8
9,778,313,75
10,757,344,8
11,729,317,8
0,644,343,383
1,516,215,383
2,678,312,175
3,732,307,67
4,771,331,458
5,709,352,50
6,561,191,58
7,537,243,191
8,760,297,217
9,439,303,392
10,783,321,400
11,766,418,258
12,770,520,75
13,757,428,67
14,751,494,117
0,675,366,300
1,740,370,291
2,322,277,441
3,441,202,241
4,751,421,633
5,324,293,316
6,313,176,350
7,747,343,300
0,573,460,491
1,445,332,491
2,742,302,50
3,571,299,766
4,735,340,250
5,530,337,50
6,523,251,208
7,526,306,133
0,943,337,300
1,677,338,100
2,778,298,216
3,771,334,308
4,681,585,283
5,447,405,100
6,459,283,158
7,338,314,142
8,475,366,358
9,530,330,450
10,597,290,233
11,669,215,208
0,825,181,700
1,697,53,700
2,488,311,216
3,710,365,325
4,454,255,558
5,141,43,225
6,83,150,483
7,85,107,1249
0,789,478,175
1,631,438,166
2,761,408,325
3,448,330,366
4,654,466,216
5,748,394,275
6,779,274,83
7,863,189,8
8,774,303,8
9,621,465,100
10,771,417,275
0,609,235,58
1,580,312,50
2,798,286,116
0,514,485,2123
1,386,357,2123
2,504,434,250
3,725,350,250
4,761,470,725
5,762,358,1890
0,683,444,949
1,555,316,949
2,748,331,500
3,644,378,108
4,512,378,83
5,595,412,317
6,625,372,341
7,570,329,225
0,584,407,183
1,694,396,50
2,720,351,8
3,724,353,17
4,823,314,8
5,748,370,291
6,545,365,158
7,734,358,8
0,771,666,142
1,643,538,142
2,698,360,300
3,536,354,200
4,467,176,158
5,383,78,75
6,394,158,691
7,401,243,433
8,741,382,625
9,696,657,325
