Idx, x, y, duration
0,463,313,233
1,362,250,500
0,918,473,350
1,790,304,350
2,597,378,208
3,398,293,258
4,532,536,591
5,268,542,217
6,198,587,175
7,186,641,333
8,768,674,158
9,907,586,275
10,508,488,191
0,803,417,616
1,675,248,616
2,424,344,291
3,399,529,258
4,514,554,241
5,541,619,233
6,563,652,350
7,437,542,208
8,296,496,200
9,259,469,383
10,398,467,325
11,422,395,75
12,356,237,849
0,637,594,1857
1,509,425,1857
2,425,271,308
3,361,225,525
4,289,447,550
5,386,427,258
6,381,250,1249
0,709,639,400
1,592,537,58
2,481,395,116
3,355,298,366
4,345,253,416
5,399,274,300
6,363,306,358
7,367,244,483
8,855,526,300
9,499,548,241
10,776,516,242
0,577,593,258
1,449,424,258
2,408,364,17
3,372,231,366
4,519,364,308
5,539,624,100
6,584,473,8
7,492,497,158
8,504,542,67
9,504,590,67
10,503,547,225
0,990,229,591
1,383,372,341
2,379,222,966
3,532,423,316
4,881,523,258
5,971,501,200
6,1012,409,241
7,799,464,600
0,499,470,300
1,371,301,300
2,427,269,67
3,430,241,100
4,360,163,67
5,370,218,400
6,419,249,92
7,435,206,150
8,607,248,92
9,631,344,150
10,791,428,100
11,765,465,158
12,821,395,17
13,820,430,175
14,780,446,408
15,489,407,258
16,422,443,250
0,703,595,816
1,451,358,275
2,413,305,191
3,267,518,633
4,156,621,958
5,324,614,216
6,570,593,233
7,919,549,475
0,652,226,192
1,524,57,192
2,470,236,275
3,464,368,491
4,815,372,208
5,671,424,941
6,519,331,1158
0,491,260,25
1,393,278,167
2,380,262,208
3,465,281,200
4,389,276,150
5,408,260,25
6,438,193,8
7,383,269,225
8,489,279,167
9,389,225,333
10,454,126,50
0,636,626,575
1,508,457,575
2,514,376,67
3,511,443,75
4,417,293,83
5,416,250,158
6,372,216,300
7,438,291,308
8,570,390,400
9,431,189,233
10,375,186,1199
