Idx, x, y, duration
0,727,432,158
1,599,262,158
2,529,246,50
3,522,309,208
4,338,288,134
5,705,287,142
6,805,253,100
7,692,302,91
8,735,251,200
0,803,539,325
1,553,346,291
2,492,302,141
3,542,339,8
4,413,323,8
5,439,393,58
0,642,431,558
1,514,261,558
2,549,311,200
3,297,298,433
4,635,304,191
5,766,284,158
6,558,160,525
7,152,158,266
8,266,300,291
0,840,492,566
1,712,322,566
2,394,354,225
3,510,299,391
4,455,322,133
5,229,324,341
6,155,505,258
7,195,496,600
8,496,483,175
9,517,519,266
10,606,313,191
0,735,463,683
1,607,293,683
2,515,259,67
3,495,300,466
4,326,308,366
5,537,330,183
6,729,322,849
7,539,262,450
8,492,305,583
0,562,383,166
1,511,335,658
2,765,331,475
3,271,339,724
4,620,356,375
5,522,352,1099
0,606,498,841
1,478,328,841
2,273,297,100
3,288,340,225
4,263,312,233
5,36,76,241
6,69,431,192
7,611,328,58
8,733,325,300
0,787,100,325
1,521,243,241
2,307,253,266
3,269,272,166
4,239,237,117
5,271,257,58
6,307,243,92
7,529,277,67
8,543,224,67
9,537,261,416
10,755,293,325
11,453,284,266
12,494,283,291
13,740,290,358
0,527,604,350
1,447,336,291
2,414,301,283
3,496,291,383
4,808,309,341
5,772,312,266
6,250,306,558
7,352,120,150
8,674,110,724
0,512,353,216
1,480,316,225
2,255,310,58
3,276,315,33
4,748,303,100
5,577,514,100
6,746,523,100
7,763,271,8
0,533,412,308
1,557,396,25
2,552,395,25
3,545,404,17
0,531,487,1591
1,403,317,1591
2,561,314,75
3,576,329,1174
4,445,337,466
5,743,322,533
6,504,323,67
