Idx, x, y, duration
0,607,600,7371
1,479,472,7371
2,403,488,4722
0,490,609,425
1,362,481,425
2,615,353,267
3,589,482,8
4,249,398,75
0,984,476,200
1,856,348,200
2,859,302,183
3,560,398,516
4,156,398,375
5,375,648,150
6,336,614,83
7,436,625,91
8,892,367,266
9,906,309,58
10,870,482,50
11,722,226,58
0,521,349,192
1,657,379,350
2,614,357,192
3,624,321,175
4,822,329,17
0,644,409,483
1,678,384,50
2,748,323,150
3,196,266,316
4,102,439,408
5,143,494,275
6,134,249,475
7,321,246,50
0,728,681,217
1,600,553,217
2,539,510,242
3,535,418,266
4,632,365,241
5,575,446,350
6,589,365,558
7,718,411,100
8,754,391,175
9,363,490,33
0,473,460,183
1,345,332,183
2,682,365,8
0,709,203,233
1,752,354,92
2,329,329,8
3,127,292,100
0,636,405,292
1,508,277,292
2,513,236,317
3,126,179,258
4,134,230,83
5,102,159,216
6,124,251,125
7,148,305,108
8,446,405,8
9,518,327,8
10,814,319,75
