Idx, x, y, duration
0,397,341,125
1,360,336,183
2,352,392,125
3,629,377,266
4,715,308,208
5,672,321,225
6,790,309,350
7,272,292,433
8,677,270,125
9,819,254,83
10,817,213,566
0,755,439,483
1,627,310,483
2,404,449,108
3,405,414,175
4,813,222,58
5,800,267,658
6,741,423,192
7,647,276,133
8,393,392,233
9,284,424,375
0,625,689,42
1,540,483,333
2,695,463,67
3,813,312,200
4,677,317,333
5,459,460,491
6,744,307,208
7,690,309,300
8,741,501,275
9,845,474,8
0,679,764,475
1,551,635,475
2,396,441,433
3,733,317,192
4,787,297,516
5,185,237,441
6,147,241,508
7,745,423,75
8,770,658,366
9,900,704,375
0,620,475,583
1,492,346,583
2,354,437,192
3,667,308,241
4,773,281,233
5,676,294,416
6,437,447,633
7,594,707,283
8,868,665,241
9,900,628,341
10,906,678,208
0,152,702,325
1,468,439,383
2,290,493,300
3,702,386,216
4,805,336,291
5,899,649,225
6,908,650,108
7,505,445,666
8,456,503,1416
0,516,543,141
1,529,505,58
2,372,453,17
3,409,460,283
0,201,583,92
1,446,371,433
2,757,307,766
3,961,160,824
0,742,250,300
1,456,352,375
2,440,403,117
3,443,352,75
4,435,394,58
5,742,277,233
6,780,272,275
7,395,471,183
8,375,400,316
9,428,386,366
10,491,401,291
0,528,405,1724
1,400,276,1724
2,449,362,175
3,718,356,283
4,688,317,233
5,810,308,366
6,408,424,1882
0,667,237,8
0,407,466,108
1,660,393,216
2,752,306,241
3,462,405,75
4,507,447,291
5,698,443,250
0,663,595,508
1,535,466,508
2,487,454,108
3,486,447,208
4,625,464,8
5,493,424,8
6,547,452,125
7,587,468,58
8,525,458,150
9,600,458,200
10,485,447,266
11,548,445,167
0,585,575,1041
1,457,446,1041
2,686,255,50
3,658,360,2082
