Idx, x, y, duration
0,368,178,142
1,356,467,316
2,763,222,291
3,729,208,191
4,307,467,108
5,123,566,108
0,687,440,133
1,713,398,208
2,364,489,408
3,101,599,558
4,479,612,216
5,761,607,192
6,876,533,217
7,834,455,275
8,754,266,17
9,929,366,8
10,448,472,8
11,311,493,491
12,799,294,167
0,957,61,158
1,641,347,258
2,220,529,333
3,94,556,216
4,357,445,500
5,766,447,1516
6,436,440,350
7,660,468,308
0,957,368,275
1,547,578,1108
2,829,576,724
3,694,646,316
4,403,567,366
5,518,670,749
6,334,644,483
0,745,450,1799
1,617,284,1799
2,630,266,924
3,763,541,441
4,140,572,91
5,119,670,300
6,180,594,125
7,675,525,192
8,839,528,333
9,812,468,225
10,664,461,183
11,460,473,142
0,647,424,250
1,652,228,224
2,375,163,250
3,561,499,175
4,146,623,291
5,158,593,75
6,150,609,50
7,797,560,408
8,744,290,425
9,705,399,375
0,847,681,158
1,719,515,158
2,712,448,83
3,664,414,141
4,332,507,67
5,303,499,67
6,302,682,58
7,612,641,92
8,612,600,100
9,822,377,191
10,747,492,158
11,740,439,58
12,672,336,58
13,775,536,117
14,813,424,350
15,852,385,58
16,894,296,92
17,686,250,67
0,441,446,142
1,320,598,42
2,162,623,216
3,187,652,83
4,776,400,150
5,782,348,50
6,810,424,92
7,568,678,166
8,595,476,108
9,578,388,33
10,359,562,50
11,762,452,308
12,629,525,316
13,620,564,183
14,596,645,308
15,728,665,516
16,732,500,400
17,852,453,92
18,884,431,108
19,884,385,58
20,863,439,250
21,840,220,217
22,734,220,50
0,621,350,8
1,625,399,108
2,596,566,100
3,516,640,325
4,161,592,233
5,691,208,92
6,156,605,316
7,740,600,383
8,769,422,150
9,776,367,125
10,819,408,258
11,828,366,142
12,936,376,308
13,333,464,208
14,359,408,133
15,361,365,83
16,407,457,92
17,423,420,175
18,103,540,75
19,93,488,225
20,334,363,75
21,383,346,191
0,613,484,8
0,573,446,91
1,577,516,425
2,353,570,75
3,92,591,8
4,82,589,9
5,768,321,108
6,767,327,291
7,432,472,292
8,433,492,83
9,718,493,208
10,743,518,92
11,706,408,8
12,496,460,91
13,435,471,233
0,693,440,208
1,565,274,208
2,525,413,67
3,470,521,450
4,635,250,141
5,632,212,100
6,616,291,941
7,639,277,208
8,651,223,117
9,640,273,1541
10,651,220,75
11,659,267,791
0,584,322,83
1,695,614,150
2,120,644,383
3,72,615,166
4,343,489,242
5,477,486,225
6,576,482,175
7,819,500,275
8,165,686,200
9,442,349,150
10,295,227,208
11,657,258,291
12,726,405,583
0,862,377,400
1,734,211,400
2,539,503,200
3,737,228,183
4,490,485,300
5,332,568,291
6,507,633,408
7,440,522,183
8,688,166,216
