Idx, x, y, duration
0,768,337,142
1,315,367,8
2,785,336,8
3,761,363,8
0,742,403,33
0,565,427,333
1,437,257,333
2,684,213,67
3,685,272,208
4,765,369,550
5,770,434,650
6,738,384,475
7,953,598,507
8,753,339,642
9,825,358,291
10,826,396,67
11,825,357,166
12,773,377,58
13,814,367,133
14,753,387,475
15,497,384,375
16,751,385,366
0,745,415,525
1,758,371,450
2,749,409,533
3,467,305,233
4,746,361,574
5,757,419,849
6,750,342,325
7,330,347,400
8,343,287,1224
0,724,394,58
1,591,440,392
0,527,411,283
1,399,241,283
2,399,399,75
3,402,443,92
4,401,480,100
5,403,432,83
6,736,359,142
7,748,411,117
8,759,342,75
9,770,388,50
10,763,435,150
11,783,387,117
12,808,405,50
13,772,324,466
14,787,235,300
15,791,313,50
16,766,281,250
17,735,259,92
18,710,320,58
19,730,276,92
20,724,351,141
21,736,315,192
22,734,631,258
23,248,520,8
24,166,290,433
25,745,422,508
0,763,398,958
1,452,350,408
2,432,275,242
3,816,314,241
4,761,379,783
5,782,555,125
6,746,360,133
7,740,275,625
8,824,277,583
9,834,353,50
10,728,288,100
0,356,360,8
1,328,369,17
2,322,405,33
0,500,252,117
1,705,435,8
2,728,460,242
3,689,453,208
4,704,394,58
5,360,430,133
0,445,405,8
1,712,398,8
2,770,403,225
3,733,405,8
4,376,332,192
5,348,299,8
6,359,334,8
7,717,384,17
0,713,279,183
1,720,384,275
2,455,342,283
3,701,361,291
