Idx, x, y, duration
0,665,404,1374
1,409,404,1374
2,415,462,150
3,628,473,42
4,612,531,466
5,510,720,291
6,311,381,400
7,491,417,458
8,467,368,625
0,621,626,283
1,365,626,283
2,396,597,283
3,310,406,233
4,497,247,300
5,433,244,108
6,363,291,208
7,446,371,241
8,596,314,241
9,422,347,225
10,533,394,108
11,545,351,58
12,530,400,92
13,600,420,83
14,621,387,150
15,461,383,233
16,298,397,233
0,655,217,67
1,399,217,67
2,404,288,325
3,330,375,216
4,445,682,67
5,458,628,633
6,266,738,275
7,446,268,67
8,452,158,58
9,425,309,267
10,427,354,458
11,342,195,358
0,729,512,675
1,473,512,675
2,450,338,58
3,592,335,241
4,658,263,350
5,687,209,100
6,674,250,200
7,467,369,25
0,612,461,192
1,356,461,192
2,260,371,125
3,399,316,258
4,430,271,375
5,413,308,75
6,388,270,508
7,533,264,300
8,509,315,158
9,505,365,216
10,498,742,525
11,388,439,183
0,363,485,175
1,304,450,216
2,211,383,75
3,230,407,75
4,366,380,117
5,317,406,158
6,356,425,225
7,292,452,58
8,351,423,108
0,741,581,150
1,485,581,150
2,465,553,100
3,447,475,350
4,499,549,191
5,417,313,408
6,483,799,350
7,469,712,100
8,463,825,75
9,469,771,92
10,456,817,225
11,488,748,150
0,729,217,483
1,490,374,83
2,500,335,50
3,486,376,158
4,326,353,117
5,386,291,217
6,544,266,316
7,622,328,291
8,476,726,100
9,502,671,58
10,480,729,92
11,480,793,241
12,385,752,375
13,302,442,316
0,322,720,250
1,66,720,250
2,497,407,58
3,463,424,92
4,481,390,67
5,457,438,266
6,427,213,1166
7,439,362,899
8,597,385,300
0,634,455,67
1,378,455,67
2,399,355,366
3,492,210,191
4,452,296,133
5,492,191,358
6,288,199,67
7,325,198,175
8,595,281,458
9,364,351,225
10,542,495,183
11,529,703,175
12,469,742,75
13,470,646,241
14,401,441,275
0,384,519,117
1,386,486,175
2,443,498,175
3,393,497,133
4,370,518,67
5,368,490,8
6,456,488,8
0,602,647,491
1,346,647,491
2,431,514,92
3,408,422,3531
0,744,421,500
1,352,357,1091
2,302,476,175
3,484,730,833
4,392,350,1083
0,501,455,716
1,245,455,716
2,366,486,300
3,411,248,316
4,506,179,258
5,469,765,508
6,360,500,550
7,301,431,375
8,216,406,408
