Idx, x, y, duration
0,677,322,175
1,531,359,525
2,607,383,575
0,618,296,858
1,490,205,858
2,482,429,242
3,418,619,450
4,441,580,324
5,701,357,225
6,808,406,624
7,449,583,658
0,491,377,8
1,571,382,8
0,614,546,83
1,486,455,83
2,479,491,150
3,297,744,8
4,430,726,25
5,615,581,25
6,697,463,250
7,335,588,17
8,476,278,533
0,563,251,375
1,435,160,375
2,400,340,358
3,429,549,391
4,546,378,242
5,792,402,316
6,436,355,658
7,553,251,508
0,648,353,133
1,552,419,108
2,403,569,8
3,586,421,42
4,676,391,25
5,507,182,8
0,580,678,125
1,522,490,383
2,536,395,1807
3,548,507,1507
0,540,545,8
1,489,339,167
2,778,425,183
3,959,420,8
4,475,187,8
5,500,61,100
6,503,538,17
0,443,383,8
1,465,217,8
2,490,165,225
0,315,520,100
1,365,308,266
2,672,328,633
3,364,309,167
4,223,312,375
5,626,362,466
0,579,304,608
1,451,213,608
2,387,550,491
3,474,404,208
0,563,568,1849
1,435,477,1849
2,454,586,83
3,428,568,8
4,422,571,8
5,436,592,8
6,384,289,433
7,528,386,167
8,559,410,8
0,662,836,192
1,534,745,192
2,790,646,83
3,548,450,175
4,562,391,50
5,538,438,117
6,504,265,300
7,827,381,283
8,799,408,142
9,570,386,350
10,423,602,266
11,399,760,25
12,834,324,241
13,900,459,125
