Idx, x, y, duration
0,405,694,275
1,277,566,275
2,520,417,483
3,348,471,391
4,177,475,416
5,821,499,275
6,518,452,691
0,460,494,383
1,332,366,383
2,515,382,134
3,511,423,200
4,734,210,466
5,643,191,108
6,637,248,300
7,385,273,717
8,583,396,266
0,424,702,250
1,296,574,250
2,534,449,183
3,541,417,291
4,548,355,208
5,436,427,541
6,656,499,133
7,658,495,150
8,643,451,175
9,504,442,166
10,427,425,633
0,501,377,158
1,471,435,658
0,896,582,108
1,527,449,1199
2,554,387,216
3,572,314,150
4,563,362,116
5,580,311,183
6,565,356,133
7,605,482,691
0,454,398,316
1,638,477,233
2,644,512,8
3,663,511,8
4,509,401,1116
0,500,413,217
1,442,436,350
2,552,435,316
3,626,469,375
4,412,458,233
5,459,447,375
6,532,387,142
7,507,397,67
8,459,423,683
0,857,638,616
1,729,510,616
2,469,383,1466
3,435,594,808
4,428,461,258
5,486,647,333
0,491,627,308
1,363,499,308
2,474,402,300
3,562,267,216
4,424,392,258
5,548,143,441
6,248,369,375
7,183,443,291
8,786,509,167
0,366,346,167
1,559,493,83
2,429,428,749
3,541,382,283
4,646,494,508
5,334,509,308
6,212,524,308
7,525,384,491
0,126,204,8
1,474,464,108
2,483,422,92
3,442,411,383
4,593,426,258
5,648,502,217
6,673,469,58
7,629,512,125
8,630,473,50
9,617,512,67
10,628,472,108
11,522,388,208
12,503,334,108
13,367,536,225
14,305,599,216
15,467,467,200
16,291,474,366
