Idx, x, y, duration
0,819,606,275
1,691,478,275
2,493,464,325
3,533,556,250
4,564,466,241
5,499,611,575
6,225,525,225
7,907,393,241
8,899,222,283
9,880,314,325
10,879,524,383
0,633,234,133
1,505,106,133
2,556,401,83
3,513,496,175
4,539,465,142
5,572,433,92
6,299,369,150
7,648,367,508
8,791,369,200
9,577,444,408
10,549,479,217
11,619,283,167
12,592,345,83
13,604,299,50
0,540,483,92
1,383,394,67
2,398,355,175
3,552,429,175
4,888,415,108
5,822,427,50
6,553,594,208
7,499,584,375
8,522,364,108
9,521,436,275
10,285,328,183
11,545,417,316
12,617,273,500
0,501,413,208
1,500,575,433
2,455,638,8
3,409,399,266
4,551,413,117
0,748,449,941
1,620,321,941
2,581,393,192
3,545,436,225
4,540,495,333
5,548,566,316
6,560,492,233
7,487,583,583
8,607,553,142
9,789,508,383
10,473,435,242
11,379,423,583
0,553,453,100
1,425,325,100
2,567,374,366
3,522,531,100
4,552,398,200
5,570,554,216
0,754,555,500
1,626,427,500
2,654,420,8
3,535,454,58
4,551,488,133
5,540,448,91
6,565,485,100
7,421,593,133
8,414,554,192
9,579,377,550
10,492,459,116
11,585,450,117
0,764,495,208
1,636,367,208
2,534,352,408
3,510,526,316
4,624,461,275
5,540,455,533
6,865,462,341
7,488,622,708
8,197,347,416
0,655,351,758
1,527,223,758
2,555,361,241
3,575,456,475
4,324,368,383
5,634,416,233
6,823,325,291
7,558,418,758
8,588,398,391
0,659,442,458
1,531,314,458
2,572,273,83
3,802,258,108
4,619,301,275
5,385,293,258
6,529,325,150
7,621,274,150
8,559,319,683
9,568,230,108
10,533,347,67
11,567,311,283
0,896,516,142
1,768,388,142
2,566,561,108
3,535,461,83
4,490,569,100
5,521,406,150
6,662,457,92
7,788,500,108
8,854,483,133
9,388,398,50
10,326,335,117
11,476,294,58
0,527,428,558
1,699,456,100
2,629,288,216
3,378,269,92
4,409,273,258
5,378,391,425
6,384,494,50
0,749,440,491
1,621,312,491
2,530,335,183
3,518,466,391
4,536,427,208
5,455,559,150
6,493,580,1141
7,818,491,200
8,871,349,575
0,700,440,891
1,572,312,891
2,585,399,375
3,509,485,250
4,490,581,866
5,581,591,316
6,629,455,50
7,603,490,50
8,832,319,575
