Idx, x, y, duration
0,316,376,117
1,305,429,266
2,384,432,366
3,384,494,183
4,723,458,250
5,780,216,325
0,631,546,342
1,503,418,342
2,340,450,200
3,376,418,283
4,275,393,375
5,397,443,133
6,429,498,50
7,382,505,483
8,377,417,216
9,376,351,75
10,385,389,100
11,858,300,83
12,826,376,467
13,696,459,633
0,330,497,308
1,371,456,1066
2,374,418,983
3,622,383,516
0,565,466,891
1,437,338,891
2,550,442,275
3,357,426,625
4,302,430,1799
0,496,567,808
1,368,439,808
2,794,448,200
3,361,252,250
4,225,464,8
5,163,492,358
6,266,408,100
7,275,433,67
8,775,416,375
0,383,397,208
1,375,346,42
0,842,664,250
1,714,536,250
2,730,498,75
3,741,463,50
4,712,521,83
5,377,390,175
6,249,416,358
7,396,219,375
8,343,384,241
9,519,343,333
10,560,300,433
11,333,484,208
12,376,448,217
13,752,453,566
0,553,505,42
1,344,468,408
2,430,251,358
3,688,229,566
4,622,490,75
5,381,447,309
6,503,449,125
0,605,427,691
1,477,299,691
2,507,252,117
3,498,294,142
4,338,387,225
5,224,401,283
6,596,360,300
7,679,447,100
8,708,382,100
9,796,433,83
10,834,408,258
11,771,417,100
12,741,447,191
13,434,412,67
14,346,436,142
0,306,427,908
1,210,442,2115
0,484,194,158
1,629,204,117
2,477,54,233
3,989,5,83
4,78,51,217
0,287,466,50
1,296,478,25
2,366,472,17
3,382,438,42
4,279,387,67
5,580,438,67
0,689,725,266
1,561,597,266
2,436,402,158
3,372,456,192
4,369,518,241
5,360,418,50
6,375,523,166
7,266,484,50
8,280,523,300
9,172,315,50
10,185,393,233
11,99,548,75
12,106,618,183
13,689,402,67
14,717,450,167
15,766,125,233
16,713,55,308
