Idx, x, y, duration
0,536,486,233
1,381,377,92
2,359,271,600
3,343,283,167
4,336,361,949
5,120,315,291
6,129,281,233
7,419,435,183
8,348,379,258
0,520,452,200
1,222,452,200
2,221,620,100
3,325,359,108
4,345,271,108
5,326,219,283
6,334,261,233
7,333,217,450
8,353,239,708
9,366,164,67
10,359,203,117
11,381,237,216
0,542,823,308
1,244,823,308
2,136,640,75
3,170,683,92
4,360,234,58
5,338,275,150
6,358,219,433
7,342,279,175
8,374,169,8
9,365,405,158
10,361,228,525
11,298,235,167
12,299,196,67
13,331,284,58
14,348,249,275
15,380,423,100
16,396,356,50
0,580,413,166
1,282,413,166
2,374,416,92
3,309,258,158
4,346,133,142
5,314,242,50
6,367,173,83
7,337,233,108
8,282,164,42
9,243,242,67
10,371,149,83
11,342,232,75
12,376,164,117
13,371,128,133
14,289,266,8
15,360,71,83
16,339,247,8
0,606,464,475
1,308,464,475
2,328,354,158
3,341,244,491
4,359,203,733
5,356,179,208
6,373,248,183
7,339,283,425
8,361,292,42
0,313,527,8
1,343,397,8
2,346,261,17
3,331,260,175
4,409,440,241
5,329,244,100
6,360,391,250
0,357,598,67
1,342,288,308
2,334,288,8
3,390,489,117
4,426,468,92
5,407,498,150
6,402,443,75
7,380,476,217
8,379,486,308
9,371,489,458
0,541,429,466
1,337,397,175
2,327,231,625
3,333,277,341
4,358,427,591
5,438,442,200
6,657,472,375
7,373,825,358
8,339,218,408
0,407,338,191
1,330,229,2507
0,253,521,67
1,378,439,92
2,370,262,150
3,317,253,108
4,352,245,167
5,360,201,75
6,357,245,150
7,315,233,191
8,314,273,133
9,333,210,125
10,298,256,50
11,308,220,108
12,289,252,67
13,327,221,75
14,352,256,100
15,347,242,208
0,625,608,333
1,327,608,333
2,327,461,92
3,317,314,158
4,326,244,641
5,283,247,225
6,290,248,75
7,313,249,58
8,372,360,125
9,349,413,67
10,346,431,208
0,588,536,1041
1,290,536,1041
2,356,399,92
3,345,238,541
4,382,312,8
5,376,322,966
0,325,534,283
1,27,534,283
2,338,415,158
3,332,279,491
4,337,223,433
5,322,295,450
6,331,241,308
7,363,655,500
8,374,437,566
0,472,406,408
1,174,406,408
2,341,349,158
3,354,245,1491
4,350,612,316
5,398,444,475
6,365,758,350
