Idx, x, y, duration
0,837,582,450
1,709,413,450
2,496,299,316
3,522,272,216
4,583,236,216
5,663,217,200
6,512,283,225
7,470,326,341
8,485,362,625
9,528,297,658
0,694,382,558
1,566,213,558
2,510,240,50
3,515,275,958
4,513,262,208
5,428,399,116
6,484,334,700
7,415,458,275
8,493,334,366
0,746,487,133
1,644,282,133
2,592,339,92
3,573,184,75
4,558,244,158
5,498,268,175
6,484,329,241
7,496,265,75
8,480,684,475
9,203,426,225
10,459,266,383
11,539,313,83
12,515,280,483
13,476,345,508
0,596,457,450
1,468,288,450
2,513,269,491
3,557,261,33
4,436,295,333
5,500,274,441
6,532,345,58
7,456,292,192
8,510,258,375
0,613,525,1907
1,485,356,1907
2,539,273,616
3,537,270,42
4,532,250,100
5,522,247,83
6,506,274,17
7,556,261,391
0,539,227,8
1,529,203,83
0,521,337,158
1,589,228,125
0,910,660,308
1,782,491,308
2,913,427,100
3,518,288,933
4,548,109,283
5,506,262,266
6,477,309,358
7,475,446,183
8,60,497,458
9,415,523,125
10,391,493,216
0,766,508,958
1,638,339,958
2,473,324,283
3,510,247,50
4,489,279,1041
5,459,314,142
6,458,219,58
7,430,309,691
8,520,273,191
9,507,264,341
0,677,450,450
1,549,281,450
2,451,309,183
3,501,282,366
4,501,248,316
5,673,265,67
6,696,238,108
7,644,271,216
8,495,219,133
9,508,255,841
0,696,510,308
1,568,341,308
2,526,362,175
3,521,283,100
4,488,259,83
5,480,268,108
6,476,259,8
7,484,272,67
8,557,235,8
9,510,258,8
10,577,299,8
11,481,245,42
12,487,264,8
13,498,271,33
0,716,584,292
1,588,415,292
2,484,450,158
3,531,242,416
4,562,154,1224
5,900,257,8
6,669,242,117
7,473,290,92
0,391,562,966
1,521,322,1799
2,406,294,708
3,256,295,150
0,790,531,458
1,662,362,458
2,518,267,225
3,498,298,749
4,518,291,225
5,509,314,916
