Idx, x, y, duration
0,450,393,474
1,322,265,474
2,331,300,59
3,512,553,283
4,504,596,916
5,509,604,109
6,534,566,67
7,512,588,17
8,506,605,225
9,505,581,8
0,459,258,8
1,529,540,58
2,269,536,175
3,488,319,225
4,538,545,258
5,536,585,100
6,600,541,200
7,407,290,408
8,346,449,366
0,396,493,133
1,512,479,50
2,711,408,67
3,686,430,42
4,729,417,8
5,445,555,8
6,393,462,208
7,140,410,100
0,553,543,50
0,445,537,167
0,454,388,425
1,326,260,425
2,357,232,217
3,359,465,150
4,484,561,141
0,703,350,116
1,701,407,8
0,903,318,200
1,541,429,325
2,673,363,2024
3,351,388,208
4,241,355,133
5,673,358,624
0,637,523,283
1,509,395,283
2,432,552,1290
3,375,559,175
4,420,550,433
5,284,575,200
6,435,555,391
7,242,576,575
0,291,356,408
1,384,543,699
2,166,518,391
3,256,625,325
4,773,379,483
5,792,341,108
0,484,415,350
1,480,461,325
2,231,513,50
3,361,250,183
4,145,408,117
5,161,418,275
6,581,439,58
0,336,708,508
1,208,580,508
2,289,559,425
3,457,517,700
4,689,384,425
5,594,487,441
6,531,493,117
7,465,490,108
