Idx, x, y, duration
0,1007,605,525
1,879,436,525
2,536,304,166
3,385,261,425
4,557,260,633
5,388,306,608
6,561,307,150
7,419,232,75
8,387,300,667
0,286,549,558
1,158,380,558
2,428,345,183
3,393,287,650
4,552,279,333
5,532,259,250
6,536,321,50
7,523,295,42
8,383,311,816
0,521,606,366
1,393,437,366
2,478,300,175
3,393,268,716
4,534,272,391
5,393,272,758
6,549,292,1299
0,834,464,325
1,706,295,325
2,533,315,167
3,417,307,366
4,553,306,283
5,531,311,258
6,563,285,525
7,390,231,133
0,631,535,100
1,503,366,100
2,429,320,441
3,525,322,217
4,399,314,100
5,406,309,217
6,453,282,216
7,522,340,133
8,547,382,8
9,535,324,8
10,540,308,675
0,639,581,350
1,511,412,350
2,409,298,525
3,534,286,425
4,682,176,508
5,439,266,225
6,773,180,350
7,453,291,217
8,388,285,416
9,553,291,575
0,307,327,216
1,405,343,333
2,547,334,783
3,406,329,241
4,363,284,183
5,393,347,366
6,462,390,58
7,548,347,841
0,640,408,108
1,512,239,108
2,500,275,58
3,522,330,150
4,390,283,566
5,398,328,233
6,389,281,1441
7,400,240,108
8,415,255,400
0,485,383,133
1,393,309,266
2,556,302,674
3,380,302,1757
0,602,656,117
0,762,420,308
1,634,251,308
2,765,255,192
3,504,316,166
4,403,318,291
5,584,308,841
6,404,289,641
7,367,286,408
8,615,211,283
9,485,309,650
0,405,437,8
1,385,334,8
2,376,359,291
3,377,360,50
4,442,348,158
5,376,346,158
6,386,342,8
0,632,662,458
1,504,493,458
2,432,286,475
3,531,315,525
4,403,318,1591
